make,model,vehicle_type,year_from,year_to
Toyota,Hiace,Van,1990,
Toyota,Hilux,Pickup,1990,
Toyota,Corolla,Car,1990,
Toyota,Yaris,Car,1999,
Toyota,Prado,SUV,1996,
Toyota,Land Cruiser,SUV,1990,
Toyota,RAV4,SUV,1994,
Toyota,Fortuner,SUV,2005,
Toyota,Camry,Car,1990,
Toyota,Coaster,Mini Bus,1990,

Nissan,Navara,Pickup,1998,
Nissan,Frontier,Pickup,1998,
Nissan,NP300,Pickup,2008,
Nissan,Urvan,Van,1990,
Nissan,Serena,Van,1991,
Nissan,X-Trail,SUV,2000,
Nissan,Tiida,Car,2004,
Nissan,Almera,Car,1995,
Nissan,Note,Car,2004,
Nissan,March,Car,1992,

Mitsubishi,L200,Pickup,1990,
Mitsubishi,Triton,Pickup,2005,
Mitsubishi,Pajero,SUV,1990,
Mitsubishi,Montero Sport,SUV,1996,
Mitsubishi,Delica,Van,1990,
Mitsubishi,Outlander,SUV,2001,
Mitsubishi,Lancer,Car,1990,

Isuzu,D-Max,Pickup,2002,
Isuzu,Elf,Truck,1990,
Isuzu,NPR,Truck,1990,

Ford,Ranger,Pickup,1998,
Ford,Everest,SUV,2003,
Ford,Explorer,SUV,1990,
Ford,Transit,Van,1990,

Mazda,BT-50,Pickup,2006,
Mazda,Demio,Car,1996,
Mazda,CX-5,SUV,2011,

Suzuki,Swift,Car,1990,
Suzuki,Jimny,SUV,1998,
Suzuki,Ertiga,Van,2012,
Suzuki,Carry,Truck,1990,

Hyundai,H100,Van,1993,
Hyundai,Starex,Van,1997,
Hyundai,Tucson,SUV,2004,
Hyundai,Santa Fe,SUV,2000,
Hyundai,Elantra,Car,1990,

Kia,K2700,Truck,1997,
Kia,Sportage,SUV,1993,
Kia,Sorento,SUV,2002,
Kia,Picanto,Car,2004,
Kia,Rio,Car,2000,

Honda,Civic,Car,1990,
Honda,CR-V,SUV,1995,
Honda,Fit,Car,2001,
Honda,HR-V,SUV,1999,

Volkswagen,Amarok,Pickup,2010,
Volkswagen,Caddy,Van,2003,

Mercedes-Benz,Sprinter,Van,1995,
Mercedes-Benz,Unimog,Truck,1950,

Higer,KLO6122,Bus,2010,
Yutong,ZK6128,Bus,2005,
King Long,XMQ6120,Bus,2005,
