make,model,vehicle_type
Toyota,Hilux,Pickup
Toyota,Land Cruiser,SUV
Toyota,Land Cruiser Prado,SUV
Toyota,Hiace,Van
Toyota,Coaster,Mini Bus
Toyota,Corolla,Sedan
Toyota,Yaris,Sedan
Nissan,Navara,Pickup
Nissan,Urvan,Van
Nissan,X-Trail,SUV
Mitsubishi,L200,Pickup
Mitsubishi,Pajero,SUV
Ford,Ranger,Pickup
Ford,Everest,SUV
Ford,Transit,Van
Isuzu,D-Max,Pickup
Isuzu,NPR,Truck
Isuzu,FRR,Truck
Higer,KLQ6129,Bus
Higer,KLO6122,Bus
Scania,P320,Fire Appliance
Mercedes-Benz,Unimog,Utility Truck
Suzuki,Ertiga,MPV
Suzuki,Celerio,Sedan
Hyundai,H1,Van
Hyundai,Tucson,SUV
Kia,Sportage,SUV
